編號,區域,診所名稱,地址,電話
40,西區,信榮牙醫診所,臺中市西區三民路一段149號3樓,04-23727406
41,西區,承群牙醫診所,臺中市西區美村路一段793號,04-23781683
42,西區,大全張牙醫診所,臺中市西區大全街4號,04-23718419
43,西區,衛生福利部臺中醫院,臺中市西區三民路一段199號,04-22294411#2245
44,西區,朱裕華牙醫診所,臺中市西區美村路一段60號,04-23261777
45,西區,晶帷牙醫診所,臺中市西區美村路一段272之1號1樓,04-23020158
46,西區,三和牙醫診所,臺中市西區五權一街65-1號,04-23729646
47,西區,皇家牙醫診所,臺中市西區精誠路285號,04-24738000
48,西區,醫世紀牙醫診所,臺中市西區美村路一段795號2樓,04-23720286
49,北區,柯雅芳牙醫診所,臺中市北區中清路一段830號2樓,04-22990598
50,北區,國泰牙醫診所,臺中市北區國泰街115號,04-22375617
51,北區,大新牙醫診所,臺中市北區漢口路三段208號,04-22974665
52,北區,禾諺牙醫診所,臺中市北區北屯路57號,04-22347580
53,北區,保安牙醫診所,臺中市北區原子街22-4號,04-22269898
54,北區,名人牙醫診所,臺中市北區中清路一段570號,04-22938899
55,北區,廖叔平牙醫診所,臺中市北區進化北路378之38號,04-22302771
56,北區,昇弘牙醫診所,臺中市北區民權路355號,04-22030422
57,北區,筌琳牙醫診所,臺中市北區東光東街13號,04-22311266
58,北區,日安牙醫診所(北區),臺中市北區英才路193號,04-22059828
59,北區,紀令儀牙醫診所,臺中市北區進化北路299號,04-22350357
60,北區,全方位牙醫診所,臺中市北區崇德路一段513號,04-22310880
61,北區,杏林牙醫診所,臺中市北區大德街150號,04-22050041
62,北區,宏宜牙醫診所,臺中市北區中華路二段115號,04-22023391
63,北區,根彥牙醫診所,臺中市北區公園路158號,04-22022907
64,北區,美好牙醫診所,臺中市北區錦南街27號,04-22267272
65,北區,周牙醫診所,臺中市北區一中街29號,04-22278416
66,北區,福康牙醫診所,臺中市北區育德路220號,04-22057575
67,北區,中國醫藥大學附設醫院,臺中市北區育德路2號,04-22052121#18590
68,北屯區,全家美學牙醫診所,臺中市北屯區中清路二段421號,04-22922889
69,北屯區,明泰牙醫診所,臺中市北屯區水湳路173號,04-24225239
70,北屯區,圓環牙醫診所,臺中市北屯區北屯路79號,04-22338009
71,北屯區,京鼎牙醫診所,臺中市北屯區昌平路二段3-18號,04-22421598
72,北屯區,景美牙醫診所,臺中市北屯區東山路一段206號,04-24360159
73,北屯區,保復牙醫診所,臺中市北屯區昌平路二段5-25號2樓,04-22418420
74,北屯區,德義牙醫診所,臺中市北屯區北屯路32-2號,04-22324027
75,北屯區,木成牙醫診所,臺中市北屯區大連路三段135號,04-22430926
76,北屯區,福音牙醫診所,臺中市北屯區軍功路一段633號,04-24372255
77,北屯區,耀仁牙醫診所,臺中市北屯區北屯路222-1號,04-22303321
78,北屯區,加利美學牙醫診所,臺中市北屯區豐樂路12-13號,04-24210050
79,北屯區,凱悅牙醫診所,臺中市北屯區九龍街104號,04-22381908
80,北屯區,品悅牙醫診所,臺中市北屯區北屯路198-3號1、2樓,04-22335100
81,北屯區,永大牙醫診所,臺中市北屯區大連路二段228號,04-22435315
82,北屯區,維康牙醫診所,臺中市北屯區東山路一段220之5號,04-24366001
83,北屯區,仁信牙醫診所,臺中市北屯區興安路一段280號,04-22451968
84,北屯區,和群牙醫診所,臺中市北屯區軍功路二段42號,04-22394509
85,北屯區,北一牙醫診所,臺中市北屯區崇興路一段88號,04-22321587
86,北屯區,潔宇牙醫診所,臺中市北屯區文心路四段482號,04-22370461
87,北屯區,佳品牙醫診所,臺中市北屯區大連路二段206號,04-22470710
88,北屯區,萬和牙醫診所,臺中市北屯區中清路二段541號,04-22957225
89,北屯區,佳鴻牙醫診所,臺中市北屯區軍功路一段756號,04-24350111
90,北屯區,德全牙醫診所,臺中市北屯區東山路一段300號,04-24378528
91,北屯區,立祥牙醫診所,臺中市北屯區松竹路二段360號,04-22465048
92,北屯區,新宏仁牙醫診所,臺中市北屯區北屯路183號,04-22343443
93,北屯區,維德美學牙醫診所,臺中市北屯區敦化路一段452號,04-24262967
94,北屯區,晶品牙醫診所,臺中市北屯區昌平路一段95之7號,04-22332689
95,北屯區,安信牙醫診所,臺中市北屯區東山路一段225號,04-24373548
96,北屯區,宏誠牙醫診所,臺中市北屯區東山路一段189-9號,04-24365119
97,北屯區,永信牙醫診所,臺中市北屯區綏遠路二段263號,04-22433030
98,北屯區,美立牙醫診所,臺中市北屯區北屯路409-21號,04-22476549
99,北屯區,裕峰牙醫診所,臺中市北屯區北屯路204-2號,04-22307537
100,北屯區,何昌運牙醫診所,臺中市北屯區興安路二段142巷50號,04-22430255
101,北屯區,辰達牙醫診所,臺中市北屯區東山路一段260號,04-24368653
102,北屯區,臺中市立老人復健綜合醫院,臺中市北屯區太原路三段1141號,04-24375252
103,西屯區,世貿牙醫診所,臺中市西屯區工業區一路54-3號,04-23597768
104,西屯區,愛鄰牙醫診所,臺中市西屯區漢口路二段8號,04-23171955
105,西屯區,泛美牙醫診所,臺中市西屯區青海路一段65-1號,04-23135566
106,西屯區,精英牙醫診所,臺中市西屯區青海路二段296號,04-27082000
107,西屯區,登峯牙醫診所,臺中市西屯區青海路一段96-2號,04-23139628
108,西屯區,嘉康牙醫診所,臺中市西屯區甘肅路一段23號,04-23172420
109,西屯區,新力牙醫診所,臺中市西屯區西屯路二段282-1號,04-24512806
110,西屯區,長青牙醫診所(西屯區),臺中市西屯區西屯路二段103-6號,04-23173411
111,西屯區,瑞聯牙醫診所,臺中市西屯區福中一街39號,04-23505616
112,西屯區,暉鴻牙醫診所,臺中市西屯區長安路二段215號,04-22969451
113,西屯區,非凡牙醫診所,臺中市西屯區西屯路二段272之15號,04-24519515
114,西屯區,優誠牙醫診所,臺中市西屯區福康路132號,04-24626288
115,西屯區,中科美學牙醫診所,臺中市西屯區西屯路三段166-81號,04-24629898
116,西屯區,民康牙醫診所,臺中市西屯區西屯路二段295-20號,04-27069677
117,西屯區,愛麗兒牙醫診所,臺中市西屯區大墩18街169號,04-23268811
118,西屯區,臺中榮民總醫院,臺中市臺灣大道四段1650號,04-23592525
119,西屯區,陳炯安牙醫診所,臺中市西屯區逢甲路162-2號,04-27010438
120,西屯區,國佑牙醫診所,臺中市西屯區西安街207號,04-27084768
121,西屯區,弘康牙醫診所,臺中市西屯區西屯路二段282-7號,04-24513843
122,西屯區,重慶牙醫診所,臺中市西屯區重慶路250號,04-23125388
123,西屯區,佳威牙醫診所,臺中市西屯區河南路二段452號,04-24526658
124,西屯區,明通牙醫診所,臺中市西屯區臺灣大道二段622號,04-23135303
125,西屯區,銘家牙醫診所,臺中市西屯區大祥街8號,04-23281819
126,西屯區,卓越美學牙醫診所,臺中市西屯區福康路106號,04-24622488
127,西屯區,張溫鷹牙醫診所,臺中市西屯區漢口路一段121號,04-22082208
128,西屯區,澄清綜合醫院中港分院,臺中市西屯區臺灣大道4段966號,04-24632000
129,西屯區,福星牙醫診所,臺中市西屯區福星路645號,04-27063580
130,西屯區,柏瑞牙醫診所,臺中市西屯區黎明路二段929號1樓,04-23805517
131,西屯區,福茂聯合門診福茂牙醫診所,臺中市西屯區西屯路二段273之1號,04-24518758
132,南屯區,得恩牙醫診所,臺中市南屯區大業路123號,04-23268189
133,南屯區,明怡牙醫診所,臺中市南屯區黎明路二段430號,04-22587700
134,南屯區,佑康牙醫診所,臺中市南屯區忠勇路105-25號,04-23891283
135,南屯區,精銳牙醫診所,臺中市南屯區大墩路461號,04-24728276
136,南屯區,中友牙醫診所,臺中市南屯區黎明路二段181號,04-23866161
137,南屯區,圓周牙醫診所,臺中市南屯區向上路3段77號2樓,04-23827999
138,南屯區,童齡牙醫診所,臺中市南屯區永春東路1057號,04-23809511
139,南屯區,源德牙醫診所,臺中市南屯區黎明路二段358號,04-22520728
140,南屯區,茂昌牙醫診所,臺中市南屯區干城街202巷1弄2號,04-22526606
141,南屯區,志升牙醫診所,臺中市南屯區南屯路二段185號,04-24755774
142,南屯區,林明勳牙醫診所,臺中市南屯區黎明路一段152號,04-24792818
143,南屯區,彭光偉牙醫診所,臺中市南屯區黎明路二段365號,04-22547388
144,南屯區,璽瑞美學牙醫診所,臺中市南屯區永春東七路889號,04-23808559
145,南屯區,中和牙醫診所,臺中市南屯區黎明路一段165號,04-24792209
146,南屯區,群益牙醫診所,臺中市南屯區黎明路二段431號,04-22555557
147,南屯區,東群牙醫診所,臺中市南屯區東興路3段175號,04-23285766
148,南屯區,東興陳牙醫診所,臺中市南屯區南屯路二段616號,04-23897371
149,南屯區,益德牙醫診所,臺中市南屯區河南路四段399-1號,04-22596496
150,南屯區,冠傑牙醫診所,臺中市南屯區永春南路31號,04-23821599
151,南屯區,康橋牙醫診所,臺中市南屯區文心路一段432號,04-23282666
152,南屯區,永新牙醫診所,臺中市南屯區河南路四段492號,04-23892392
153,南屯區,法務部矯正署臺中監獄附設培德醫院,臺中市南屯區培德路9號,04-23864341
154,太平區,新光牙醫診所,臺中市太平區振福路216號,04-23951466
155,太平區,益詮牙醫診所,臺中市太平區振福路536號,04-23982889
156,太平區,忠信牙醫診所,臺中市太平區中山路一段382號,04-23925668
157,太平區,中悅牙醫診所,臺中市太平區宜昌路508號,04-22702998
158,太平區,千大牙醫診所,臺中市太平區太平路755號,04-22701054
159,太平區,全友牙醫診所,臺中市太平區樹孝路71號,04-23938365
160,太平區,太平劉牙醫診所,臺中市太平區太平路565號,04-22799814
161,太平區,潔安牙醫診所(太平區),臺中市太平區東平路617號,04-22756479
162,太平區,勤益牙醫診所,臺中市太平區中山路一段270號,04-23960099
163,太平區,太平新品牙醫診所,臺中市太平區中山路三段2-9號,04-23936000
164,太平區,和研牙醫診所,臺中市太平區中山路三段2-1號,04-23936488
165,大里區,新仁愛牙醫診所,臺中市大里區中興路二段381號2樓,04-24853366
166,大里區,大仁牙醫診所(大里區),臺中市大里區塗城路427號,04-24924574
167,大里區,金山牙醫診所,臺中市大里區大里路16號,04-24835482
168,大里區,菁品牙醫診所,臺中市大里區中興路二段692號,04-24870800
169,大里區,祥恩牙醫診所,臺中市大里區東明路296號,04-24819396
170,大里區,立仁牙醫診所,臺中市大里區立仁路130號,04-22707597
171,大里區,大明牙醫診所,臺中市大里區益民路二段52-1號,04-24833680
172,大里區,健康牙醫診所,臺中市大里區新南路86號,04-24833901
173,大里區,優良牙醫診所,臺中市大里區永明街275號,04-24076966
174,大里區,祐德牙醫診所(大里區),臺中市大里區成功路422號,04-24950566
175,大里區,中心牙醫診所(大里區),臺中市大里區中興路二段663號,04-24825760
176,大里區,鼎好牙醫診所,臺中市大里區中興路一段265號,04-24953100
177,大里區,全民牙醫診所,臺中市大里區立仁路43-2號,04-22783515
178,大里區,馨田牙醫診所,臺中市大里區甲堤南路21號,04-22755361
179,大里區,大里三合牙醫診所 ,臺中市大里區大新街24號,04-24068285
180,大里區,新欣牙醫診所,臺中市大里區塗城路822號,04-24939922
181,大里區,長庚牙醫診所(大里區),臺中市大里區大新街31號,04-24069033
182,大里區,時代牙醫診所,臺中市大里區益民路2段273號,04-24824182
183,霧峰區,欣悅牙醫診所,臺中市霧峰區中正路1131號,04-23395598
184,霧峰區,景安牙醫診所,臺中市霧峰區萊園路6-3號,04-23391059
185,霧峰區,華興牙醫診所,臺中市霧峰區中正路1052號,04-23391375
186,霧峰區,華信牙醫診所,臺中市霧峰區中正路1123號,04-23309939
187,霧峰區,品誠牙醫診所(霧峰區),臺中市霧峰區中正路832號,04-23303166
188,霧峰區,晶耀牙醫診所,臺中市霧峰區中正路1101之3號,04-2330-8450
189,霧峰區,明鑫牙醫診所,臺中市霧峰區萊園路25號,04-23394052
190,烏日區,金來牙醫診所,臺中市烏日區中山路一段216號,04-23375552
191,烏日區,日安牙醫診所(烏日區),臺中市烏日區溪南路一段646號,04-23355790
192,烏日區,日信牙醫診所,臺中市烏日區中山路一段435號,04-23372436
193,烏日區,明道牙醫診所,臺中市烏日區平等路28之3號1樓,04-23372573
194,豐原區,游牙醫診所(豐原區),臺中市豐原區豐東路98號,04-25231119
195,豐原區,鉅豐牙醫診所,臺中市豐原區和平街50號,04-25243313
196,豐原區,友仁牙醫診所,臺中市豐原區府前街61之7號,04-25265657
197,豐原區,長青牙醫診所(豐原區),臺中市豐原區中山路450號,04-25268808
198,豐原區,張林牙醫診所,臺中市豐原區三民路209號,04-25223968
199,豐原區,豐原仁愛牙醫診所,臺中市豐原區中正路326號,04-25253522
200,豐原區,晨光牙醫診所,臺中市豐原區中興路101號1樓.103號1樓,04-25284926
201,豐原區,翁子牙醫診所,臺中市豐原區圓環東路699號,04-25286302
202,豐原區,衛生福利部豐原醫院,臺中市豐原區安康路100號,04-25271180
203,豐原區,肇洲牙醫診所,臺中市豐原區田心路一段61號,04-25278288
204,豐原區,白光牙醫診所,臺中市豐原區中興路122之1號,04-25286626
205,豐原區,光南牙醫診所,臺中市豐原區中正路329號,04-25120888
206,豐原區,豐原名揚牙醫診所,臺中市豐原區圓環東路678號4樓,04-25206788
207,豐原區,晴天牙醫診所,臺中市豐原區中正路541號,04-25158589
208,豐原區,吉德牙醫診所,臺中市豐原區三豐路二段5號,04-25202929
209,豐原區,陽光牙醫診所(豐原區),臺中市豐原區愛國街268號,04-25206870
210,豐原區,豐南牙醫診所,臺中市豐原區大明路20號,04-25223241
211,后里區,后里林牙醫診所,臺中市后里區四村路79號,04-25560759
212,后里區,星宇牙醫診所,臺中市后里區甲后路一段712號,04-25566788
213,后里區,羅光志牙醫診所,臺中市后里區中山路79號,04-25570516
214,后里區,永美牙醫診所,臺中市后里區甲后路一段417號,04-25567239
215,后里區,黃牙醫診所,臺中市后里區甲后路一段611號,04-25561819
216,后里區,欽泰牙醫診所,臺中市后里區甲后路一段586號,04-25573003
217,石岡區,徐牙醫診所,臺中市石岡區豐勢路102號1樓,04-25825233
218,東勢區,懷恩牙醫診所,臺中市東勢區豐勢路281號,04-25888663
219,東勢區,快樂牙醫診所,臺中市東勢區本街369號,04-25888257
220,東勢區,合麗牙醫診所,臺中市東勢區豐勢路455號,04-25880685
221,東勢區,新陳牙醫診所,臺中市東勢區本街187號,04-25876200
222,和平區,臺中市和平區衛生所,臺中市和平區東關路3段132號,04-25942781#102
223,潭子區,健宏牙醫診所,臺中市潭子區中山路一段171號,04-25322594
224,潭子區,潭子聯合牙醫診所,臺中市潭子區中山路一段43-2號,04-25339039
225,潭子區,東怡牙醫診所,臺中市潭子區祥和路126-3號,04-25381715
226,潭子區,傅在榮牙醫診所,臺中市潭子區雅潭路一段42號,04-25325378
227,潭子區,洪清苑牙醫診所,臺中市潭子區中山路二段384之9號,04-25320330
228,潭子區,青熙牙醫診所,臺中市潭子區大豐路三段196-9號,04-25326363
229,潭子區,立德牙醫診所,臺中市潭子區興華一路286號,04-25315081
230,潭子區,矽品牙醫診所,臺中市潭子區大豐路三段78號,04-25326845
231,潭子區,藍牙醫診所,臺中市潭子區潭子街二段73號,04-25362206
232,潭子區,佛教慈濟醫療財團法人台中慈濟醫院,臺中市潭子區豐興路一段66、88號,04-36060666#4393
233,潭子區,大方牙醫診所,臺中市潭子區圓通南路293號,04-25328222
234,大雅區,潘牙醫診所,臺中市大雅區中清東路239號,04-25662493
235,大雅區,豐豪牙醫診所,臺中市大雅區雅潭路四段835號1樓,04-25671123
236,大雅區,真生牙醫診所,臺中市大雅區中清東路148號,04-25669834
237,大雅區,康泰牙醫診所,臺中市大雅區學府路213號,04-25663040
238,大雅區,朝美牙醫診所,臺中市大雅區民生路二段6號,04-25686497
239,大雅區,天誼牙醫診所,臺中市大雅區雅環路二段336號,04-25602600
240,大雅區,君悅美學牙醫診所,臺中市大雅區中清東路273號,04-25671588
241,大雅區,德明牙醫診所,臺中市大雅區雅潭路四段830號,04-25661699
242,神岡區,杏明牙醫診所,臺中市神岡區神岡路26號,04-25622460
243,神岡區,西華牙醫診所,臺中市神岡區豐洲路137號,04-25285583
244,神岡區,岡林牙醫診所,臺中市神岡區神岡路141號,04-25622289
245,神岡區,開心美學牙醫診所,臺中市神岡區民生路13號,04-25633396
246,大肚區,東生牙醫診所,臺中市大肚區沙田路二段629號,04-26993455
247,大肚區,松美牙醫診所,臺中市大肚區遊園路二段175號,04-26914595
248,大肚區,博盛牙醫診所,臺中市大肚區沙田路二段593號,04-26998802
249,大肚區,芯好牙醫診所,臺中市大肚區育英路15號,04-26985060
250,沙鹿區,沙鹿張牙醫診所,臺中市沙鹿區中山路271號,04-26626684
251,沙鹿區,群洲牙醫診所,臺中市沙鹿區中山路392號,04-26651857
252,沙鹿區,調元牙醫診所,臺中市沙鹿區中山路311號,04-26625306
253,沙鹿區,文正牙醫診所,臺中市沙鹿區英才路129號,04-26325009
254,沙鹿區,專誠牙醫診所,臺中市沙鹿區斗潭路503號,04-26366168
255,沙鹿區,傑聖牙醫診所,臺中市沙鹿區光華路322號,04-26651808
256,沙鹿區,濟仁牙醫診所,臺中市沙鹿區沙田路19-3號,04-26358038
257,沙鹿區,陳洲林牙醫診所,臺中市沙鹿區大新街11-3號,04-26620047
258,沙鹿區,尚青牙醫診所,臺中市沙鹿區大同街30號,04-26351095
259,沙鹿區,光田醫療社團法人光田綜合醫院,臺中市沙鹿區向上路七段127號             (大甲院區：臺中市大甲區經國路321號),"04-26625111#3213
(04-26885599#5406)"
260,沙鹿區,名德牙醫診所,臺中市沙鹿區中山路538號,04-26627869
261,沙鹿區,悠緹美學牙醫診所,臺中市沙鹿區鎮南路二段624號,04-26623228
262,沙鹿區,彰仁牙醫診所,臺中市沙鹿區沙田路168號,04-26625516
263,龍井區,百齡牙醫診所,臺中市龍井區新興路29-5號,04-26310209
264,龍井區,理想牙醫診所,"臺中市龍井區國際街161,163號1樓",04-26322892
265,龍井區,勤美牙醫診所,臺中市龍井區藝術街19巷5號一樓,04-26527996
266,梧棲區,童綜合醫療社團法人童綜合醫院,臺中市梧棲區臺灣大道8段699號,04-26581919#55306
267,梧棲區,梧悠美學牙醫診所,臺中市梧棲區大智路二段424號1樓及426號1樓、2樓,04-26560101
268,清水區,今日微笑牙醫診所,臺中市清水區文昌街39號,04-26235334
269,清水區,清水張牙醫診所,臺中市清水區中興街32-2號,04-26226182
270,清水區,清水牙醫診所,臺中市清水區中正街27號,04-26239998
271,清水區,吳勵成牙醫診所,臺中市清水區清水街12號,04-26223443
272,清水區,長生牙醫診所,臺中市清水區港都三路70號,04-23201121
273,大甲區,三大牙醫診所,臺中市大甲區中山路一段1149號,04-26861010
274,大甲區,正天牙醫診所,臺中市大甲區雁門路21號,04-26800169
275,大甲區,新勝全牙醫診所,臺中市大甲區德興路201號,04-26803888
276,大甲區,大甲媽牙醫診所,臺中市大甲區中華街95號2樓,04-26763000
277,大甲區,普全牙醫診所,臺中市大甲區德興路173號,04-26870916
278,大甲區,正大牙醫診所,臺中市大甲區蔣公路1號,04-26863062
279,大甲區,平安牙醫診所,臺中市大甲區光明路69號,04-26876635
280,大甲區,榮春牙醫診所,臺中市大甲區通天路274號,04-26810955
281,大安區,興達牙醫診所,臺中市大安區中山南路289號,04-26710817
